Vakances_Nr,Aktualizacijas_datums,Iestades_registracijas_numurs,Vakances_nosaukums,Vakances_kategorija,Alga_no,Alga_lidz,Slodzes_tips,Darba_laika_veids,Darba_stundas_nedela,Pieteiksanas_termins,Attels,Vieta,Vakances_paplasinats_apraksts
251211-187,2025-12-11,90009116223,Amatierteātra REŽISORS,Kultūra / Māksla,288.000,288.000,Nepilna slodze,"","",2026-01-30,"","Kalna iela 18, Bauska, Bauskas nov.",https://cvvp.nva.gov.lv/#/pub/vakances/436362029
251216-30,2025-12-16,90009116223,TEHNISKAIS STRĀDNIEKS,Izglītība / Zinātne,780.000,800.000,Viena vesela slodze,Normālais darba laiks,"",2026-01-31,"","Skolas iela 3, Uzvara, Gailīšu pag., Bauskas nov.",https://cvvp.nva.gov.lv/#/pub/vakances/436660908
251217-107,2025-12-17,90009116223,VECĀKAIS BIBLIOTEKĀRS,Kultūra / Māksla,1113.000,1270.000,Viena vesela slodze,Normālais darba laiks,"",2026-01-23,"","Kalna iela 18, Bauska, Bauskas nov.",https://cvvp.nva.gov.lv/#/pub/vakances/436845368
260116-104,2026-01-17,90009116223,SPECIĀLAIS PEDAGOGS,Izglītība / Zinātne,1065.000,1065.000,Nepilna slodze,Nepilnais darba laiks,"",2026-03-01,"","Rīgas iela 24, Vecumnieki, Vecumnieku pag., Bauskas nov.",https://cvvp.nva.gov.lv/#/pub/vakances/439099361
260108-91,2026-01-08,40900034733,PEDAGOGS KARJERAS KONSULTANTS,Izglītība / Zinātne,2000.000,2000.000,"","","",2026-01-31,"","Rīgas iela 5, Ropaži, Ropažu pag., Ropažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/438176533
260108-95,2026-01-08,40900034733,VISPĀRĒJĀS PAMATIZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,1800.000,1800.000,"",Normālais darba laiks,"",2026-01-31,"","Rīgas iela 5, Ropaži, Ropažu pag., Ropažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/438179800
260108-101,2026-01-08,40900034733,VISPĀRĒJĀS PAMATIZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,1800.000,1800.000,Viena vesela slodze,"","",2026-01-31,"","Rīgas iela 5, Ropaži, Ropažu pag., Ropažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/438183860
260108-107,2026-01-08,40900034733,Izglītības un skolu PSIHOLOGS,Izglītība / Zinātne,2000.000,2000.000,"","","",2026-02-01,"","Rīgas iela 5, Ropaži, Ropažu pag., Ropažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/438188818
260108-111,2026-01-08,40900034733,SOCIĀLAIS PEDAGOGS,Izglītība / Zinātne,2000.000,2000.000,Viena vesela slodze,Normālais darba laiks,"",2026-01-31,"","Rīgas iela 5, Ropaži, Ropažu pag., Ropažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/438192494
260108-108,2026-01-08,40900034733,VADĪTĀJA VIETNIEKS /DIREKTORA VIETNIEKS /IZPILDDIREKTORS (IZGLĪTĪBAS JOMĀ),Izglītība / Zinātne,2000.000,2000.000,"",Normālais darba laiks,"",2026-01-31,"","Rīgas iela 5, Ropaži, Ropažu pag., Ropažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/438191060
260105-34,2026-01-05,40003480798,PALĪGSTRĀDNIEKS,Izglītība / Zinātne,825.000,825.000,Viena vesela slodze,Normālais darba laiks,40,2026-01-30,"","Nīcgales iela 26, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/437638391
260115-2,2026-01-15,40003480798,BIROJA ADMINISTRATORS,Izglītība / Zinātne,905.000,905.000,Viena vesela slodze,"","",2026-01-29,"","Augusta Deglava iela 41, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/438862779
