Vakances_Nr,Aktualizacijas_datums,Iestades_registracijas_numurs,Vakances_nosaukums,Vakances_kategorija,Alga_no,Alga_lidz,Slodzes_tips,Darba_laika_veids,Darba_stundas_nedela,Pieteiksanas_termins,Attels,Vieta,Vakances_paplasinats_apraksts
260116-112,2026-01-16,90000041898,LAUKSAIMNIEKS,Izglītība / Zinātne,2000.000,2000.000,Viena vesela slodze,"","",2026-02-06,"","Pēterlauki, Platones pag., Jelgavas nov.",https://cvvp.nva.gov.lv/#/pub/vakances/439109345
260113-11,2026-01-13,90000041898,ZIRGKOPĒJS,Izglītība / Zinātne,1000.000,1000.000,"",Maiņu darbs,"",2026-01-23,"","Mušķi, Cenu pag., Jelgavas nov.",https://cvvp.nva.gov.lv/#/pub/vakances/438584272
260112-136,2026-01-13,90000041898,KLĪNISKAIS FARMACEITS,Izglītība / Zinātne,1145.000,1145.000,Viena vesela slodze,"","",2026-02-01,"","Kristapa Helmaņa iela 8, Jelgava",https://cvvp.nva.gov.lv/#/pub/vakances/438551503
260113-16,2026-01-13,90000041898,VECĀKAIS GRĀMATVEDIS,Izglītība / Zinātne,1500.000,1500.000,Viena vesela slodze,"","",2026-02-02,"","Lielā iela 2, Jelgava",https://cvvp.nva.gov.lv/#/pub/vakances/438589292
260113-14,2026-01-13,90000041898,BIROJA ADMINISTRATORS,Izglītība / Zinātne,960.000,960.000,Viena vesela slodze,"","",2026-02-05,"","Kristapa Helmaņa iela 8, Jelgava",https://cvvp.nva.gov.lv/#/pub/vakances/438587713
260116-107,2026-01-16,90000041898,ĒKAS DEŽURANTS,Izglītība / Zinātne,1014.000,1014.000,Viena vesela slodze,"","",2026-02-02,"","Lielā iela 2, Jelgava",https://cvvp.nva.gov.lv/#/pub/vakances/439107660
251217-25,2026-01-07,40003275348,ERGOTERAPEITS,Veselības aprūpe / Sociālā aprūpe,1750.000,1750.000,Viena vesela slodze,Normālais darba laiks,"",2026-01-28,"","Sauču kalna iela 3, Veczosna, Lūznavas pag., Rēzeknes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/436791103
260115-92,2026-01-15,40003275348,FIZIOTERAPEITS,Veselības aprūpe / Sociālā aprūpe,1550.000,1550.000,Viena vesela slodze,Normālais darba laiks,"",2026-01-29,"","Sauču kalna iela 3, Veczosna, Lūznavas pag., Rēzeknes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/438948777
260105-107,2026-01-05,40003246194,FIZIOTERAPEITS,Veselības aprūpe / Sociālā aprūpe,870.000,870.000,"",Summētais darba laiks,"",2026-02-04,"","Pētera iela 33, Ventspils",https://cvvp.nva.gov.lv/#/pub/vakances/437687906
260113-31,2026-01-13,40003246194,TEHNISKAIS STRĀDNIEKS,Cita,950.000,950.000,Viena vesela slodze,Normālais darba laiks,"",2026-01-27,"","Stendes iela 1, Talsi, Talsu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/438603905
260114-174,2026-01-14,90000042516,BĀRIŅTIESAS PRIEKŠSĒDĒTĀJS,Valsts pārvalde,2714.000,2714.000,Viena vesela slodze,Normālais darba laiks,40,2026-01-30,"","Pulkveža Oskara Kalpaka iela 9, Jelgava",https://cvvp.nva.gov.lv/#/pub/vakances/438844532
260117-3,2026-01-17,90000042516,JURISTS,Valsts pārvalde,2128.000,2128.000,Viena vesela slodze,Normālais darba laiks,40,2026-02-06,"","Lielā iela 11, Jelgava",https://cvvp.nva.gov.lv/#/pub/vakances/439133927
260112-119,2026-01-12,40003083998,KLIENTU APKALPOŠANAS SPECIĀLISTS,Cita,1500.000,1500.000,Viena vesela slodze,Maiņu darbs,"",2026-01-26,"","Tēraudlietuves iela 22, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/438541416
251110-4,2025-11-10,40003245752,Lidojumu INSTRUKTORS,Transports / Loģistika,4700.000,5100.000,Viena vesela slodze,Maiņu darbs,"",2026-01-19,"","Tehnikas iela 3, Lidosta ""Rīga"", Mārupes pag., Mārupes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/433202819
251210-53,2025-12-10,40003245752,NAUDAS PLŪSMAS ANALĪTIĶIS,Transports / Loģistika,1700.000,1900.000,Viena vesela slodze,Normālais darba laiks,"",2026-01-19,"","Tehnikas iela 3, Lidosta ""Rīga"", Mārupes pag., Mārupes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/436162529
260109-54,2026-01-09,40003245752,Lidmašīnas aviolīniju transporta PILOTS,Transports / Loģistika,9450.000,9450.000,Viena vesela slodze,Maiņu darbs,"",2026-07-06,"","Tehnikas iela 3, Lidosta ""Rīga"", Mārupes pag., Mārupes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/438315418
260114-7,2026-01-14,40003245752,NOLIKTAVAS DARBINIEKS,Transports / Loģistika,1500.000,1850.000,Viena vesela slodze,Maiņu darbs,"",2026-01-26,"","Tehnikas iela 3, Lidosta ""Rīga"", Mārupes pag., Mārupes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/438720991
260112-123,2026-01-12,40003245752,TABEĻVEDIS,Transports / Loģistika,1800.000,2000.000,Viena vesela slodze,Maiņu darbs,"",2026-01-26,"","Tehnikas iela 3, Lidosta ""Rīga"", Mārupes pag., Mārupes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/438545324
251223-78,2025-12-23,40003245752,DATU BĀZU ADMINISTRATORS,Transports / Loģistika,2000.000,3100.000,Viena vesela slodze,Normālais darba laiks,"",2026-01-19,"","Tehnikas iela 3, Lidosta ""Rīga"", Mārupes pag., Mārupes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/437306712
251215-73,2025-12-15,40003245752,GAISA KUĢA STJUARTS,Transports / Loģistika,1450.000,1650.000,Viena vesela slodze,"","",2026-01-19,"","Tehnikas iela 3, Lidosta ""Rīga"", Mārupes pag., Mārupes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/436570384
251127-38,2025-11-27,40003245752,GAISA KUĢA STJUARTS,Transports / Loģistika,1050.000,1650.000,Viena vesela slodze,Maiņu darbs,"",2026-04-27,"","Tehnikas iela 3, Lidosta ""Rīga"", Mārupes pag., Mārupes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/434747496
251203-30,2025-12-03,40003245752,GAISA KUĢU TEHNISKĀS EKSPLUATĀCIJAS MEHĀNIKAS TEHNIĶIS,Transports / Loģistika,3200.000,3200.000,Viena vesela slodze,Maiņu darbs,"",2026-02-03,"","Tehnikas iela 3, Lidosta ""Rīga"", Mārupes pag., Mārupes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/435316939
260109-56,2026-01-09,40003245752,Lidmašīnas komercPILOTS,Transports / Loģistika,7100.000,7100.000,Viena vesela slodze,Maiņu darbs,"",2026-07-06,"","Tehnikas iela 3, Lidosta ""Rīga"", Mārupes pag., Mārupes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/438315941
260114-9,2026-01-14,40003245752,Aviācijas teorētiskās apmācības INSTRUKTORS,Transports / Loģistika,2500.000,2500.000,Viena vesela slodze,Normālais darba laiks,"",2026-01-26,"","Tehnikas iela 3, Lidosta ""Rīga"", Mārupes pag., Mārupes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/438721129
260108-34,2026-01-08,90011524360,VIDES AIZSARDZĪBAS VECĀKAIS SPECIĀLISTS,Lauksaimniecība / Vide,1550.000,1743.000,Viena vesela slodze,"","",2026-01-27,"","Brīvības iela 49/53, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/438120703
260108-103,2026-01-08,90011524360,PERSONĀLA INSPEKTORS,Vadība / Administrēšana,1459.000,1459.000,Viena vesela slodze,"","",2026-01-23,"","Tērbatas iela 69, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/438185871
260109-55,2026-01-12,90011524360,LIETVEDĪBAS SEKRETĀRS,Vadība / Administrēšana,1067.000,1067.000,Viena vesela slodze,"","",2026-01-23,"","Tērbatas iela 69, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/438315659
260109-57,2026-01-09,90011524360,PADOMES LOCEKLIS,Vadība / Administrēšana,1608.000,2145.000,Viena vesela slodze,Normālais darba laiks,"",2026-02-02,"","Rātslaukums 5, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/438316553
260109-64,2026-01-09,90011524360,PADOMES LOCEKLIS,Vadība / Administrēšana,1710.000,2283.000,Viena vesela slodze,Normālais darba laiks,"",2026-02-02,"","Rātslaukums 5, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/438320244
260109-111,2026-01-09,90011524360,Padomes LOCEKLIS (valsts pārvaldes jomā un pašvaldībās),Vadība / Administrēšana,1968.000,2625.000,Viena vesela slodze,"","",2026-02-02,"","Kleistu iela 28, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/438353033
251222-121,2025-12-22,90011524360,BĀRIŅTIESAS LOCEKLIS,Vadība / Administrēšana,1406.000,1637.000,Viena vesela slodze,"","",2026-01-25,"","Tērbatas iela 69, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/437225881
260116-16,2026-01-16,90011524360,ALGU GRĀMATVEDIS,Bankas / Apdrošināšana / Finanses/Grāmatvedība,1509.000,1612.000,Viena vesela slodze,"","",2026-02-15,"","Rātslaukums 1, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/439017783
260107-157,2026-01-07,40900037049,IZGLĪTĪBAS METODIĶIS,Izglītība / Zinātne,2000.000,2000.000,Nepilna slodze,"","",2026-01-28,"","Brīvības iela 37, Ogre, Ogres nov.",https://cvvp.nva.gov.lv/#/pub/vakances/438054696
260107-136,2026-01-07,40900037049,IZGLĪTĪBAS METODIĶIS,Izglītība / Zinātne,2000.000,2000.000,Viena vesela slodze,"","",2026-01-28,"","Brīvības iela 37, Ogre, Ogres nov.",https://cvvp.nva.gov.lv/#/pub/vakances/438043572
260117-40,2026-01-17,90000058625,APRŪPĒTĀJS,Veselības aprūpe / Sociālā aprūpe,780.000,862.000,Viena vesela slodze,Normālais darba laiks,40,2026-02-02,"","Jaunatnes iela 1, Grobiņa, Dienvidkurzemes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/439194890
260116-79,2026-01-16,90000058625,PEDAGOGA PALĪGS,Izglītība / Zinātne,1175.000,1175.000,Nepilna slodze,Normālais darba laiks,"",2026-02-15,"","Krotes pamatskola, Krote, Bunkas pag., Dienvidkurzemes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/439076331
260115-47,2026-01-15,90009569239,TRANSPORTA KONTROLIERIS,Cita,5.130,5.130,Viena vesela slodze,Summētais darba laiks,"",2026-01-30,"","Peldu iela 5, Liepāja",https://cvvp.nva.gov.lv/#/pub/vakances/438918569
260115-57,2026-01-15,90009569239,GRĀMATVEDIS (CETURTĀ LĪMEŅA KVALIFIKĀCIJA),Cita,1400.000,1400.000,Viena vesela slodze,Normālais darba laiks,"",2026-01-30,"","Peldu iela 5, Liepāja",https://cvvp.nva.gov.lv/#/pub/vakances/438924229
251224-3,2025-12-29,40900019414,SPECIĀLAIS PEDAGOGS,Izglītība / Zinātne,1280.000,1280.000,Nepilna slodze,"","",2026-01-20,"","Zvaigžņu iela 2, Inčukalns, Inčukalna pag., Siguldas nov.",https://cvvp.nva.gov.lv/#/pub/vakances/437321518
260115-150,2026-01-15,40900019414,SPECIĀLAIS PEDAGOGS,Izglītība / Zinātne,1280.000,1280.000,Viena vesela slodze,"","",2026-02-09,"","Zvaigžņu iela 2, Inčukalns, Inčukalna pag., Siguldas nov.",https://cvvp.nva.gov.lv/#/pub/vakances/438993226
260106-129,2026-01-06,2919902697,VISPĀRĒJĀS PAMATIZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,1652.000,1652.000,"","","",2026-06-01,"","Skolas iela 3, Jūrmala",https://cvvp.nva.gov.lv/#/pub/vakances/437867133
260115-12,2026-01-15,41203000983,VECĀKAIS GRĀMATVEDIS,Vadība / Administrēšana,1480.000,1480.000,Viena vesela slodze,Normālais darba laiks,"",2026-01-20,"","Talsu iela 65, Ventspils",https://cvvp.nva.gov.lv/#/pub/vakances/438878543
251229-22,2025-12-29,90000051595,PIRMSSKOLAS IZGLĪTĪBAS MŪZIKAS SKOLOTĀJS,Izglītība / Zinātne,1566.000,1566.000,Viena vesela slodze,"","",2026-01-31,"","Rūpniecības iela 13, Jūrmala",https://cvvp.nva.gov.lv/#/pub/vakances/437373392
251229-24,2025-12-29,90000051595,SKOLOTĀJS LOGOPĒDS,Izglītība / Zinātne,1175.000,1175.000,Viena vesela slodze,Normālais darba laiks,30,2026-01-31,"","Rūpniecības iela 13, Jūrmala",https://cvvp.nva.gov.lv/#/pub/vakances/437374308
251229-18,2025-12-29,90000051595,PEDAGOGA PALĪGS,Izglītība / Zinātne,1175.000,1175.000,Viena vesela slodze,"","",2026-01-31,"","Rūpniecības iela 13, Jūrmala",https://cvvp.nva.gov.lv/#/pub/vakances/437369409
260108-99,2026-01-08,90000056554,PAŠVALDĪBAS POLICIJAS INSPEKTORS,Drošība / Glābšanas dienesti / Aizsardzība,1205.000,1731.000,Viena vesela slodze,Summētais darba laiks,"",2026-01-31,"","Dubultu prospekts 2, Jūrmala",https://cvvp.nva.gov.lv/#/pub/vakances/438181976
260108-100,2026-01-08,90000056554,PAŠVALDĪBAS POLICIJAS INSPEKTORS,Drošība / Glābšanas dienesti / Aizsardzība,1205.000,1731.000,Viena vesela slodze,Summētais darba laiks,"",2026-01-25,"","Dubultu prospekts 2, Jūrmala",https://cvvp.nva.gov.lv/#/pub/vakances/438182399
251217-56,2025-12-17,40003219995,ZOBĀRSTS,Veselības aprūpe / Sociālā aprūpe,1813.000,3500.000,Viena vesela slodze,Normālais darba laiks,"",2026-02-17,"","Raiņa iela 98A, Jūrmala",https://cvvp.nva.gov.lv/#/pub/vakances/436817229
251217-52,2025-12-17,40003219995,UROLOGS,Veselības aprūpe / Sociālā aprūpe,1515.000,3500.000,Viena vesela slodze,Normālais darba laiks,"",2026-02-17,"","Raiņa iela 98A, Jūrmala",https://cvvp.nva.gov.lv/#/pub/vakances/436817024
251217-50,2025-12-17,40003219995,ZOBĀRSTA ASISTENTS,Veselības aprūpe / Sociālā aprūpe,1300.000,1450.000,Viena vesela slodze,Normālais darba laiks,"",2026-02-17,"","Raiņa iela 98A, Jūrmala",https://cvvp.nva.gov.lv/#/pub/vakances/436816869
260105-202,2026-01-05,40900012098,MĀSA/ vispārējās aprūpes MĀSA bērnu aprūpē,Izglītība / Zinātne,597.000,597.000,Nepilna slodze,"","",2026-02-05,"","Telts iela 2A, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/437729091
250929-102,2025-09-29,40003284868,Telesakaru/ telekomunikāciju INŽENIERIS,Informācijas tehnoloģijas / Telekomunikācijas,1100.000,1500.000,Viena vesela slodze,Normālais darba laiks,"",2026-01-31,"","Cēsu iela 31 k-1, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/428208624
251204-8,2025-12-04,40900011054,SĒTNIEKS,Izglītība / Zinātne,740.000,740.000,Viena vesela slodze,Normālais darba laiks,40,2026-01-31,"","Raņķa dambis 3, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/435474444
251204-10,2025-12-04,40900011054,SKOLOTĀJS LOGOPĒDS,Izglītība / Zinātne,754.000,754.000,Nepilna slodze,Nepilnais darba laiks,"",2026-01-31,"","Raņķa dambis 3, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/435475586
260109-138,2026-01-09,90000024436,VISPĀRĒJĀS VIDĒJĀS IZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,1292.500,1292.500,Viena vesela slodze,"","",2026-02-02,"","Kalnsētas iela 24, Saldus, Saldus nov.",https://cvvp.nva.gov.lv/#/pub/vakances/438371368
260116-55,2026-01-16,90009938567,APDARES DARBU STRĀDNIEKS,Būvniecība / Nekustamais īpašums,780.000,780.000,Viena vesela slodze,Normālais darba laiks,40,2026-02-01,"","Mihaila iela 3, Daugavpils",https://cvvp.nva.gov.lv/#/pub/vakances/439061118
260105-169,2026-01-05,90009938567,EKSKURSIJU GIDS,Kultūra / Māksla,1000.000,1060.000,Viena vesela slodze,Summētais darba laiks,"",2026-01-19,"","Mihaila iela 3, Daugavpils",https://cvvp.nva.gov.lv/#/pub/vakances/437718700
260112-57,2026-01-12,90000597275,VECĀKAIS EKSPERTS,Vadība / Administrēšana,2400.000,2700.000,Viena vesela slodze,Normālais darba laiks,"",2026-01-26,"","Smilšu iela 1, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/438473829
260109-88,2026-01-09,90000597275,VECĀKAIS GRĀMATVEDIS,Vadība / Administrēšana,1200.000,1200.000,Viena vesela slodze,Normālais darba laiks,"",2026-02-02,"","Smilšu iela 1, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/438342811
260109-126,2026-01-09,90000597275,VECĀKAIS GRĀMATVEDIS,Vadība / Administrēšana,1200.000,1200.000,Viena vesela slodze,Normālais darba laiks,"",2026-02-08,"","Smilšu iela 1, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/438362353
260109-134,2026-01-09,90000597275,VECĀKAIS GRĀMATVEDIS,Vadība / Administrēšana,1200.000,1200.000,Viena vesela slodze,Normālais darba laiks,"",2026-02-08,"","Smilšu iela 1, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/438368869
260109-99,2026-01-09,90000597275,VECĀKAIS GRĀMATVEDIS,Vadība / Administrēšana,1200.000,1200.000,Viena vesela slodze,Normālais darba laiks,"",2026-02-08,"","Smilšu iela 1, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/438348026
260106-58,2026-01-06,90000070045,FINANŠU ANALĪTIĶIS,Vadība / Administrēšana,1800.000,1800.000,Viena vesela slodze,Normālais darba laiks,"",2026-01-19,"","Brīvības bulvāris 36, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/437812753
260109-18,2026-01-09,90000024008,DATORSISTĒMU UN DATORTĪKLU ADMINISTRATORS,Informācijas tehnoloģijas / Telekomunikācijas,1800.000,1800.000,Viena vesela slodze,"","",2026-01-25,"","Līvzemes iela 8, Salaspils, Salaspils nov.",https://cvvp.nva.gov.lv/#/pub/vakances/438269662
260109-67,2026-01-09,90000024008,ĢEOINFORMĀTIKAS INŽENIERIS,Vadība / Administrēšana,1800.000,1800.000,Viena vesela slodze,"","",2026-01-30,"","Līvzemes iela 8, Salaspils, Salaspils nov.",https://cvvp.nva.gov.lv/#/pub/vakances/438322343
260109-72,2026-01-09,90000024008,BŪVINSPEKTORA PALĪGS,Vadība / Administrēšana,1700.000,1700.000,Viena vesela slodze,"","",2026-01-30,"","Līvzemes iela 8, Salaspils, Salaspils nov.",https://cvvp.nva.gov.lv/#/pub/vakances/438327672
260115-50,2026-01-15,90000024008,VECĀKAIS GRĀMATVEDIS,Bankas / Apdrošināšana / Finanses/Grāmatvedība,1550.000,1650.000,Viena vesela slodze,"","",2026-01-25,"","Līvzemes iela 8, Salaspils, Salaspils nov.",https://cvvp.nva.gov.lv/#/pub/vakances/438919041
260113-5,2026-01-13,90001870675,JURISKONSULTS,Vadība / Administrēšana,1800.000,2300.000,Viena vesela slodze,"","",2026-01-27,"","Raiņa bulvāris 15, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/438573814
260107-105,2026-01-07,90000048491,SABIEDRISKO ATTIECĪBU VADĪTĀJS (MENEDŽERIS),Mediji / Sabiedriskās attiecības,2128.000,2583.000,Viena vesela slodze,"","",2026-01-21,"","Gaismas iela 19 k-9 - 1, Ķekava, Ķekavas nov.",https://cvvp.nva.gov.lv/#/pub/vakances/438019058
260107-115,2026-01-07,90000048491,KULTŪRAS PASĀKUMU ORGANIZATORS,Kultūra / Māksla,1294.000,1407.000,Viena vesela slodze,Summētais darba laiks,"",2026-01-18,"","Gaismas iela 17, Ķekava, Ķekavas nov.",https://cvvp.nva.gov.lv/#/pub/vakances/438027319
260112-122,2026-01-12,90000048491,SABIEDRISKO ATTIECĪBU SPECIĀLISTS,Valsts pārvalde,1299.000,1797.000,Viena vesela slodze,Normālais darba laiks,40,2026-01-26,"","Gaismas iela 19 k-9, Ķekava, Ķekavas nov.",https://cvvp.nva.gov.lv/#/pub/vakances/438543884
260112-134,2026-01-12,90000048491,BŪVINSPEKTORS,Valsts pārvalde,1899.000,2307.000,Viena vesela slodze,Normālais darba laiks,40,2026-01-26,"","Gaismas iela 19 k-9, Ķekava, Ķekavas nov.",https://cvvp.nva.gov.lv/#/pub/vakances/438549990
260112-138,2026-01-12,90000048491,KVALITĀTES VADĪTĀJS,Valsts pārvalde,1899.000,2307.000,Viena vesela slodze,"","",2026-01-26,"","Gaismas iela 19 k-9 - 1, Ķekava, Ķekavas nov.",https://cvvp.nva.gov.lv/#/pub/vakances/438552222
260112-161,2026-01-13,90000048491,AINAVU ARHITEKTS,Valsts pārvalde,1522.000,1956.000,Viena vesela slodze,"","",2026-01-25,"","Gaismas iela 19 k-9 - 1, Ķekava, Ķekavas nov.",https://cvvp.nva.gov.lv/#/pub/vakances/438559936
251229-121,2025-12-29,90000048491,VADĪTĀJS /DIREKTORS /PĀRVALDNIEKS (IZGLĪTĪBAS JOMĀ),Izglītība / Zinātne,1899.000,2307.000,Viena vesela slodze,Normālais darba laiks,"",2026-01-19,"","Jaunatnes iela 3, Baloži, Ķekavas nov.",https://cvvp.nva.gov.lv/#/pub/vakances/437459852
260105-128,2026-01-05,90000048491,BŪVINSPEKTORA PALĪGS,Būvniecība / Nekustamais īpašums,1522.000,1956.000,Viena vesela slodze,"","",2026-01-18,"","Gaismas iela 19 k-9 - 1, Ķekava, Ķekavas nov.",https://cvvp.nva.gov.lv/#/pub/vakances/437696501
260113-207,2026-01-14,90000048491,KULTŪRAS DARBA VADĪTĀJS,Kultūra / Māksla,1522.000,1956.000,Viena vesela slodze,Normālais darba laiks,"",2026-01-27,"","Gaismas iela 17, Ķekava, Ķekavas nov.",https://cvvp.nva.gov.lv/#/pub/vakances/438706364
251230-58,2025-12-30,55403015551,ATKRITUMU SAVĀCĒJS,Pakalpojumi,850.000,850.000,Viena vesela slodze,"","",2026-01-31,"","Darba vieta – poligons “Dziļā Vāda”, Mežāres pagasts, Jēkabpils novads.",https://cvvp.nva.gov.lv/#/pub/vakances/437535651
260107-77,2026-01-07,90000051699,SKOLOTĀJA PALĪGS,Izglītība / Zinātne,812.000,812.000,Viena vesela slodze,Normālais darba laiks,"",2026-02-06,"","Jūrmala, Kļavu iela, 29/31",https://cvvp.nva.gov.lv/#/pub/vakances/438001046
260106-214,2026-01-06,90001868844,SOCIĀLAIS DARBINIEKS,Veselības aprūpe / Sociālā aprūpe,1522.000,1522.000,Viena vesela slodze,Normālais darba laiks,40,2026-01-30,"","Ventspils šoseja 20A, Jūrmala",https://cvvp.nva.gov.lv/#/pub/vakances/437910166
260106-224,2026-01-06,90001868844,AUDIOLOGOPĒDS,Veselības aprūpe / Sociālā aprūpe,960.000,960.000,Nepilna slodze,Normālais darba laiks,30,2026-01-30,"","Skolas iela 44 - 61, Jūrmala",https://cvvp.nva.gov.lv/#/pub/vakances/437911842
260106-259,2026-01-06,90001868844,FIZIOTERAPEITS,Veselības aprūpe / Sociālā aprūpe,640.000,640.000,Nepilna slodze,Normālais darba laiks,20,2026-01-30,"","Skolas iela 44 - 61, Jūrmala",https://cvvp.nva.gov.lv/#/pub/vakances/437926067
251128-92,2025-12-30,40003152664,TRANSPORTA MEHĀNIĶIS,Transports / Loģistika,1400.000,1790.000,Viena vesela slodze,Normālais darba laiks,"",2026-02-02,"","Meiju ceļš 62, Jelgava",https://cvvp.nva.gov.lv/#/pub/vakances/434932110
251204-27,2025-12-04,90009202489,SĒTNIEKS,Pakalpojumi,750.000,750.000,Viena vesela slodze,Normālais darba laiks,40,2026-01-31,"","Baznīcas iela 1, Jaunolaine, Olaines pag., Olaines nov.",https://cvvp.nva.gov.lv/#/pub/vakances/435487420
251230-59,2025-12-30,40003410894,SANTEHNIĶIS,Pakalpojumi,1350.000,1350.000,Viena vesela slodze,Normālais darba laiks,40,2026-01-31,"","Kastaņu iela 2, Ozolnieki, Ozolnieku pag., Jelgavas nov.",https://cvvp.nva.gov.lv/#/pub/vakances/437536004
260107-104,2026-01-07,90001800413,VECĀKAIS EKSPERTS,Valsts pārvalde,1258.000,1287.000,Viena vesela slodze,Normālais darba laiks,40,2026-01-25,"","Elizabetes iela 51, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/438018902
260107-146,2026-01-07,90001800413,VECĀKAIS EKSPERTS,Valsts pārvalde,1258.000,2118.000,Viena vesela slodze,Normālais darba laiks,"",2026-01-25,"","Vaļņu iela 1, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/438049939
260108-12,2026-01-08,90001800413,VECĀKAIS EKSPERTS,Valsts pārvalde,1258.000,1797.000,Viena vesela slodze,Normālais darba laiks,40,2026-02-06,"","Vaļņu iela 3, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/438101238
260109-27,2026-01-09,90001800413,KVALITĀTES VADĪTĀJS,Valsts pārvalde,1258.000,1752.000,Viena vesela slodze,Normālais darba laiks,40,2026-01-25,"","Vaļņu iela 3, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/438284125
260114-89,2026-01-14,90001800413,PAMATDARBĪBAS STRUKTŪRVIENĪBAS VADĪTĀJA VIETNIEKS /DIREKTORA VIETNIEKS (VALSTS PĀRVALDES JOMĀ),Izglītība / Zinātne,1522.000,2350.000,Viena vesela slodze,"","",2026-02-13,"","Vaļņu iela 3, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/438790227
260113-26,2026-01-13,90001800413,VECĀKAIS EKSPERTS,Izglītība / Zinātne,1258.000,2024.000,Viena vesela slodze,Normālais darba laiks,40,2026-02-02,"","Vaļņu iela 1, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/438595259
251229-4,2025-12-29,90001800413,VECĀKAIS EKSPERTS,Izglītība / Zinātne,1522.000,2118.000,Viena vesela slodze,Normālais darba laiks,"",2026-01-23,"","Vaļņu iela 3, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/437357037
251219-88,2025-12-19,90001800413,FINANSISTS,Izglītība / Zinātne,1258.000,1900.000,Viena vesela slodze,Normālais darba laiks,"",2026-01-23,"","Vaļņu iela 3, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/437078126
260106-112,2026-01-06,90009222536,Jaunsargu INSTRUKTORS,Vadība / Administrēšana,1700.000,2020.000,Viena vesela slodze,Normālais darba laiks,"",2026-01-22,"","Kantora iela 97, Mārupe, Mārupes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/437859394
260112-46,2026-01-12,90009222536,Jaunsargu INSTRUKTORS,Vadība / Administrēšana,1700.000,2020.000,Viena vesela slodze,Normālais darba laiks,"",2026-01-30,"","Talejas iela 1, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/438469254
260108-128,2026-01-08,90009222536,Jaunsargu INSTRUKTORS,Vadība / Administrēšana,1700.000,2020.000,"","","",2026-02-15,"","Iecavas iela 2, Baldone, Ķekavas nov.",https://cvvp.nva.gov.lv/#/pub/vakances/438208692
260108-127,2026-01-08,90009222536,Jaunsargu INSTRUKTORS,Vadība / Administrēšana,1700.000,2020.000,Viena vesela slodze,Normālais darba laiks,"",2026-02-15,"","Cieceres iela 9, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/438207486
251216-5,2026-01-12,40900027411,SANTEHNIĶIS,Pakalpojumi,836.000,836.000,Viena vesela slodze,Normālais darba laiks,"",2026-01-30,"","Rāznas iela 38, Kaunata, Kaunatas pag., Rēzeknes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/436635322
